날짜,노원구,은평구,서대문구,서초구,강남구,송파구
2023-04-24,102.578840218898,99.012610123935,88.414604316266,79.632860982579,74.424849107168,71.369287023718
2023-05-01,102.447619629216,98.830666676694,88.385230457585,79.494091324858,74.415765079442,71.38721045857
2023-05-08,102.341521100206,98.778119343512,88.263413884755,79.269186004707,74.380365131057,71.447093932506
2023-05-15,101.991233710167,98.391091363289,88.102202958285,79.009372191913,74.427031963129,71.525769835753
2023-05-22,101.73462074028,98.327510759952,87.966749837927,78.856680498397,74.455473742135,71.601549460379
2023-05-29,101.632583876708,98.310449402607,87.947562370583,78.757618330536,74.4938924002,71.756217416533
2023-06-05,101.566176382821,98.09970773472,87.943047528506,78.726233840514,74.574767775381,71.957434937574
2023-06-12,101.461194006694,98.082451560999,87.872519973214,78.630109701832,74.645275617941,72.156489291366
2023-06-19,101.200711215532,97.914155943349,87.750080811415,78.673904534915,74.760001973108,72.341008468339
2023-06-26,101.010408654769,97.725636765662,87.65193684543,78.677567162921,74.85404500376,72.492023944076
2023-07-03,100.879856608103,97.66430998764,87.513245785532,78.707691233075,74.906334192546,72.694432277392
2023-07-10,100.563905206093,97.628793429077,87.499992080472,78.731319675381,74.927980082265,72.779736066994
2023-07-17,100.184179484276,97.555361092151,87.413757071366,78.775070874499,75.026298636971,72.92080957053
2023-07-24,99.940702430419,97.461401882655,87.368153027494,78.82585050124,75.119030136918,73.007131875385
2023-07-31,99.919671742549,97.371973882354,87.346950490943,78.8528826969,75.168900674562,73.05357462154
2023-08-07,99.899236678891,97.069594794011,87.337406607298,78.930691376085,75.238029586624,73.185514699116
2023-08-14,99.87101225256,96.905269602843,87.35390304659,79.029492201353,75.328881700397,73.389638773856
2023-08-21,99.85860396855,96.77346782186,87.359014936043,79.119523616741,75.492639273035,73.579762495638
2023-08-28,99.834674203252,96.735401934817,87.402770825077,79.244634404248,75.562849587604,73.785784379006
2023-09-04,99.718682556105,96.654938563739,87.422387723203,79.264196305501,75.678855811633,73.933322198859
2023-09-11,99.717717703037,96.666180758466,87.463054658681,79.283315016438,75.823860795706,74.171143210831
2023-09-18,99.694278262223,96.671923295061,87.500491205741,79.358115059715,75.924119505595,74.258406693681
2023-09-25,99.698528617328,96.651405366621,87.511839057167,79.397470503682,75.97395854195,74.435182635991
2023-10-09,99.699200442164,96.63810422898,87.579036309517,79.449230991042,76.066692970419,74.575956453128
2023-10-16,99.709709912854,96.565882888049,87.642792060936,79.488380714442,76.154069871385,74.67784378563
2023-10-23,99.711845983817,96.532250785665,87.803618035583,79.491628144956,76.233425606782,74.716414395526
2023-10-30,99.587355979829,96.464210037019,87.864354751809,79.498321005787,76.23943447064,74.785054257733
2023-11-06,99.422529945285,96.418760706331,87.962261400771,79.502500283967,76.298266085642,74.865518775797
2023-11-13,99.351767447891,96.351461154962,87.983439092908,79.512871433278,76.311497450808,74.918507873384
2023-11-20,99.269782976238,96.309062889544,87.999103289631,79.507852964595,76.348059600153,74.889834370696
2023-11-27,99.213219384127,96.254502079491,88.152304005161,79.487589437926,76.344282478066,74.824635739197
2023-12-04,99.179181733208,96.219955133712,88.160454394438,79.474435347562,76.343161391533,74.795094556869
2023-12-11,99.079995346845,96.12688565244,88.180645253373,79.472250206568,76.322579450191,74.72951056793
2023-12-18,99.022836165235,96.104056520405,88.269508230272,79.457224710189,76.296574515982,74.671819770062
2023-12-25,98.975133935493,96.096559613978,88.264513333274,79.428702172745,76.291595613199,74.654093000564
2024-01-01,98.925203720754,96.092078202452,88.243039883682,79.428776198815,76.288361719892,74.587880967593
2024-01-08,98.827170306876,95.984766100422,88.236177627034,79.426114662509,76.275997518419,74.514885683573
2024-01-15,98.771684359888,95.947105036436,88.218435610569,79.418051410149,76.278722109275,74.485116231668
2024-01-22,98.697111753665,95.805958154158,88.200080404705,79.410819896549,76.274656126348,74.457276950718
2024-01-29,98.531127867268,95.785863175344,88.149409379675,79.413335018875,76.264275500168,74.444765815259
2024-02-05,98.475271566105,95.767357831146,88.086149463295,79.410074638159,76.262708150956,74.407815698021
2024-02-19,98.405618048517,95.731594529666,88.003405896144,79.385948012104,76.233412515498,74.383948750169
2024-02-26,98.36211654966,95.715196163295,87.981513581263,79.374234987998,76.212999919221,74.372153529067
2024-03-04,98.301643263493,95.703867352186,87.966978369088,79.372153233552,76.2153291859,74.34465183141
2024-03-11,98.247918828434,95.69346530053,87.961491223244,79.381382318799,76.202557886835,74.326921151894
2024-03-18,98.195837559138,95.678600809414,87.963471385251,79.37476542055,76.183372381206,74.315416061549
2024-03-25,98.156993920063,95.663509005919,87.95711133696,79.373579075335,76.152727087836,74.308679774485
2024-04-01,97.937619469846,95.649106653936,87.954738553879,79.349513832753,76.144359790102,74.301206217528
2024-04-08,97.915252308322,95.636791607537,87.951476402939,79.350318390788,76.157866045617,74.292981027717
2024-04-15,97.877910137894,95.622965085693,87.947845504678,79.372611830196,76.203251311698,74.280352184408
2024-04-22,97.847774633397,95.570457635187,87.95102426126,79.403306460691,76.226446604241,74.273489007999
2024-04-29,97.73410749788,95.568311769962,87.955534067141,79.420705642772,76.244202599805,74.298351472204
2024-05-06,97.720303453871,95.571897909279,87.983170915306,79.475605851937,76.267096203814,74.308231104636
2024-05-13,97.704842926539,95.567196754308,88.001871426354,79.526472757597,76.294283187078,74.337019104262
2024-05-20,97.670928038813,95.571040745634,88.079573118363,79.57145835464,76.338990853489,74.335282121548
2024-05-27,97.61966809728,95.591953608465,88.181140611348,79.675405357285,76.377795743024,74.383600656689
2024-06-03,97.600466606222,95.601954454289,88.236319170417,79.784857272005,76.41185523481,74.494220288566
2024-06-10,97.597759806706,95.61154853501,88.313834734435,79.936296564519,76.497155822095,74.590452971283
2024-06-17,97.505228883781,95.681625964225,88.357334121636,80.004584395503,76.663115572707,74.699880157087
2024-06-24,97.365953659282,95.778733305476,88.452604786204,80.321052784433,76.806648537673,74.882530771958
2024-07-01,97.19791990063,96.022472560284,88.5735838054,80.419631779935,76.998657104182,75.072365268256
2024-07-08,97.035358237056,96.076050472456,88.711282378927,80.572823917097,77.169721231392,75.296841673959
2024-07-15,96.972836825392,96.223899447196,89.002639176872,80.77492795186,77.354925934299,75.613357860231
2024-07-22,96.904819140571,96.253617459711,89.194260804472,81.102854292459,77.562815378798,75.957981790475
2024-07-29,96.89045285386,96.34967113451,89.386766121611,81.41402406097,77.861921210707,76.286665848528
2024-08-05,96.90999257505,96.508856114366,89.57171705143,81.608097487195,78.196851311303,76.667032557284
2024-08-12,96.942548653587,96.640522161836,89.807124256283,81.878677729596,78.586343643022,77.082800330164
2024-08-19,96.996736549131,96.716158391172,90.099488644527,82.101466459582,79.068980738898,77.51505995266
2024-08-26,97.063119599346,96.810995159556,90.337004680997,82.269464629671,79.380105576686,77.867230407009
2024-09-02,97.129629355669,96.877308382859,90.550777290017,82.512823789563,79.686073321029,78.202488322152
2024-09-09,97.197989682706,96.965585655424,90.705763562929,82.659091796235,79.937972095314,78.441508365377
2024-09-23,97.279697345655,97.067933608698,90.843681894527,82.828548719709,80.341678693599,78.655436179185
2024-09-30,97.292511971249,97.117068572136,90.870022812783,82.898257596392,80.486181601771,78.769337175023
2024-10-07,97.31465003726,97.116327252573,91.021564903488,83.054941784648,80.704336717035,78.876097795677
2024-10-14,97.365978592715,97.18146106107,91.108512493511,83.193587333299,80.888079649209,79.01663374255
2024-10-21,97.390309738681,97.215861890321,91.154101264531,83.321971666708,80.99961282607,79.108662170801
2024-10-28,97.411023761423,97.232176557995,91.228242427765,83.495152200115,81.089326618904,79.236633281973
2024-11-04,97.419442958248,97.230809806474,91.271258998365,83.597172274279,81.206367111608,79.282429536997
2024-11-11,97.417084832111,97.236796815401,91.33510778046,83.679693627377,81.315467236885,79.350817949512
2024-11-18,97.411561945601,97.237623527736,91.368493020793,83.826318423394,81.491266963117,79.470313570334
2024-11-25,97.400848420973,97.261589490978,91.449960880046,83.934427963204,81.59645587015,79.506975965217
2024-12-02,97.407891922925,97.279396219907,91.521076055322,84.054843900749,81.699031829881,79.553512398809
2024-12-09,97.411628635194,97.368512486451,91.567154249842,84.145680923811,81.779478307682,79.627567055871
2024-12-16,97.413012755669,97.375930924699,91.620759319951,84.220672008159,81.846900104724,79.669607949986
2024-12-23,97.409112843648,97.378265303544,91.661580108386,84.277682902527,81.901887989715,79.705167998224
2024-12-30,97.407770516753,97.380926924695,91.686030979067,84.316226819811,81.968313623552,79.749962018735
2025-01-06,97.388804101185,97.339851920451,91.694366645187,84.351393763003,82.018285806467,79.767245408039
2025-01-13,97.348081181088,97.273219471204,91.724085820438,84.396607911831,82.064175734202,79.782976773527
2025-01-20,97.316170345219,97.244384451694,91.752153125397,84.456186306286,82.138627278537,79.833018242535
2025-02-03,97.281328136075,97.226795406761,91.779462508538,84.51567289327,82.207303964625,79.877869774446
2025-02-10,97.266884729351,97.216350301253,91.788414097813,84.640962850038,82.340532151102,79.972146500134
2025-02-17,97.260470231711,97.160898463043,91.815746301959,84.824920133703,82.654720408773,80.201617594846
2025-02-24,97.264607853362,97.060242111787,91.829574652727,85.203868270291,83.032057963691,80.666175377485
2025-03-03,97.237255511513,97.054637267309,91.893203863299,85.597955709357,83.417935884936,81.233835062702
2025-03-10,97.248979866113,97.069646148713,91.973716118667,86.302594904303,84.169285826361,81.958217322243
2025-03-17,97.250524849092,97.090038864759,92.02168627139,86.81683432389,84.981640404472,82.499046415932
